year,province,prc,dmu,Y,P,L,K,H,oe,pe,se
2001,Papua,PA,26,23989,2284,1073,32808,5.414,0.815,1,0.815
2002,Aceh,AC,1,39961,4041,1602,36803,8.351,1,1,1
2002,North Sumatra,SU,2,74359,11942,5457,121066,8.359,0.82,0.834,0.983
2002,Riau,RI,3,98656,5383,2247,214142,7.72,0.964,1,0.964
2002,West Sumatra,SB,4,24840,4298,1894,50014,7.747,0.526,0.549,0.957
2002,Jambi,JA,5,10527,2494,1161,22459,7.377,0.432,0.517,0.834
2002,Bengkulu,BE,6,5310,1656,801,9328,7.085,0.524,1,0.524
2002,South Sumatra,SS,7,49587,8134,3843,120481,6.891,0.588,0.64,0.918
2002,Lampung,LA,8,25452,6889,3309,49904,6.849,0.561,0.624,0.898
2002,West Java,JB,9,260728,45512,20357,496758,7.245,1,1,1
2002,Jakarta,JK,10,249653,8382,3817,984802,10.276,1,1,1
2002,Central Java,JT,11,123038,31786,16237,267221,6.454,0.816,0.852,0.958
2002,Yogyakarta,YO,12,14689,3163,1735,37564,7.309,0.383,0.415,0.921
2002,East Java,JI,13,217052,35225,18180,484848,6.518,0.928,1,0.928
2002,Bali,BA,14,18424,3230,1858,32975,7.586,0.515,0.571,0.901
2002,West Kalimantan,KB,15,20742,4198,2060,56890,6.511,0.422,0.477,0.883
2002,Central Kalimantan,KT,16,11905,1966,903,39920,7.784,0.33,0.409,0.806
2002,East Kalimantan,KI,17,86655,2590,1150,108274,8.832,1,1,1
2002,South Kalimantan,KS,18,18304,3068,1597,25240,6.66,0.668,0.927,0.721
2002,North Sulawesi,SA,19,12975,2899,1229,18141,7.886,0.659,0.79,0.834
2002,Central Sulawesi,ST,20,9600,2287,1073,20136,7.314,0.439,0.545,0.805
2002,South Sulawesi,SN,21,33659,8284,3516,56655,6.605,0.684,0.769,0.889
2002,Southeast Sulawesi,SG,22,6468,1935,865,12516,6.795,0.476,1,0.476
2002,West Nusa Tenggara,NB,23,13511,4152,2008,35251,5.962,0.394,0.505,0.78
2002,East Nusa Tenggara,NT,24,8622,3945,1937,20764,5.986,0.382,1,0.382
2002,Maluku,MA,25,4805,1901,805,15969,7.959,0.277,0.77,0.36
2002,Papua,PA,26,25241,2356,1139,36698,5.343,0.743,1,0.743
2003,Aceh,AC,1,42239,4240,2538,37901,8.979,1,1,1
2003,North Sumatra,SU,2,77941,11923,5160,127149,8.611,0.824,0.831,0.992
2003,Riau,RI,3,101399,5596,2385,231498,8.644,0.871,0.872,0.999
2003,West Sumatra,SB,4,26147,4476,1948,52246,8.151,0.536,0.558,0.961
2003,Jambi,JA,5,11251,2583,1166,22978,7.327,0.482,0.632,0.764
2003,Bengkulu,BE,6,5589,1525,727,9324,7.793,0.538,1,0.538
2003,South Sumatra,SS,7,51837,7438,3489,124514,7.484,0.583,0.606,0.963
2003,Lampung,LA,8,26908,6963,3316,52671,7.254,0.565,0.615,0.92
2003,West Java,JB,9,273255,46757,19781,512255,7.614,1,1,1
2003,Jakarta,JK,10,262605,8640,3969,1005718,10.501,1,1,1
2003,Central Java,JT,11,129166,32175,16257,271559,6.789,0.829,0.855,0.97
2003,Yogyakarta,YO,12,15361,3211,1757,39719,7.742,0.396,0.435,0.911
2003,East Java,JI,13,227393,36270,18097,499626,6.795,0.932,1,0.932
2003,Bali,BA,14,19081,3363,1877,33746,7.813,0.541,0.598,0.905
2003,West Kalimantan,KB,15,21377,3969,1827,60376,6.959,0.414,0.452,0.915
2003,Central Kalimantan,KT,16,12488,1838,843,42507,7.829,0.356,0.494,0.72
2003,East Kalimantan,KI,17,88207,2720,1160,115069,8.447,1,1,1
2003,South Kalimantan,KS,18,19159,3188,1594,26091,7.121,0.681,0.933,0.73
2003,North Sulawesi,SA,19,13416,2995,1201,19542,8.333,0.635,0.779,0.816
2003,Central Sulawesi,ST,20,10196,2221,941,21084,7.693,0.495,0.654,0.756
2003,South Sulawesi,SN,21,35426,8253,3458,60335,7.036,0.684,0.744,0.919
2003,Southeast Sulawesi,SG,22,6958,1887,853,13541,7.377,0.471,1,0.471
2003,West Nusa Tenggara,NB,23,14034,4025,1967,37157,5.922,0.398,0.524,0.759
2003,East Nusa Tenggara,NT,24,9017,4094,1970,21232,6.358,0.381,1,0.381
2003,Maluku,MA,25,5003,1963,872,15356,8.218,0.31,0.442,0.701
2003,Papua,PA,26,25621,2366,1162,40774,4.867,0.727,1,0.727
2004,Aceh,AC,1,39664,4018,1679,39001,8.302,1,1,1
2004,North Sumatra,SU,2,82481,12294,5512,133783,8.58,0.869,0.875,0.993
2004,Riau,RI,3,104656,5861,2391,250107,8.627,0.877,0.896,0.978
2004,West Sumatra,SB,4,27574,4434,2027,54494,8.294,0.565,0.569,0.992
2004,Jambi,JA,5,11857,2607,1211,23555,7.604,0.495,0.579,0.855
2004,Bengkulu,BE,6,5888,1573,768,9342,7.392,0.62,1,0.62
2004,South Sumatra,SS,7,54020,7635,3849,129436,7.314,0.61,0.657,0.929
2004,Lampung,LA,8,28248,7180,3382,55184,7.102,0.603,0.684,0.881
2004,West Java,JB,9,287493,47383,20778,531242,7.667,1,1,1
2004,Jakarta,JK,10,278646,8636,4100,1035864,10.39,1,1,1
2004,Central Java,JT,11,135790,31789,16827,278074,6.77,0.85,0.888,0.957
