id,country,year,ehc,sur,fh,edu,lea
184,Uganda,2016,5,36,49,9,57
185,Ukraine,1990,17,40,72,13,80
185,Ukraine,2016,20,41,74,14,82
186,United Arab Emirates,1990,10,41,59,11,72
186,United Arab Emirates,2016,16,42,68,13,77
187,Uruguay,1990,12,41,77,9,75
187,Uruguay,2016,15,42,79,11,76
188,Uzbekistan,1990,11,39,57,11,76
188,Uzbekistan,2016,14,40,67,12,78
189,Vanuatu,1990,5,37,55,7,72
189,Vanuatu,2016,8,38,60,9,75
190,Venezuela,1990,10,41,73,9,66
190,Venezuela,2016,15,41,76,12,71
191,Vietnam,1990,7,39,52,8,77
191,Vietnam,2016,14,42,67,11,82
192,Virgin Islands,1990,16,41,78,12,74
192,Virgin Islands,2016,18,42,80,13,74
193,Yemen,1990,2,34,39,5,53
193,Yemen,2016,4,38,36,9,55
194,Zambia,1990,3,30,44,7,51
194,Zambia,2016,5,34,46,10,55
195,Zimbabwe,1990,5,35,50,9,54
195,Zimbabwe,2016,5,34,49,11,56
